ID,DESCRIPTION
AAH55004,ETHANOL 1500PPM SLRY SRG
AAH55005,BUTANOL 2000PPM SLRY SRG
AYC55040,DC-551 CRYSTALLITE SIZE
AYC55580,DA554 BTMS SLURRY SOLIDS
DI52018,NIRO SPRAY DRYER FEED
DI55102,HYDROL RX OUTLET
DI55152,2ND STG SEPR TO FA-560
DI55580,DA-554 BTMS SLURRY TO EX
FC52018,NIRO SPRAY DRYER FEED
FC03043213,X-4204 SAO OUT STOR/RECY
FC42428,STRIPPED ALKOXIDE TO 658
FC55003,DA-551 O/H H2O TO DC-551
FC55009,STM TO PA-551  RING HTR
FC55102,HYDROL RX OUTLET
FC55152,2ND STG SLURRY TO DA554
FC55552,ALK FD TO HYDR RX DC-551
FC55569,30# STM TO C4 STRIPPER
FC55576,CONDENSATE TO DESUPERHTR
FFC55553,DC551 H2O/ALKOXIDE RATIO
FFC55555,RECYC BUT/ALKOX FD RATIO
FI55580,DA-554 BTMS SLRRY TO EXC
FYC55553,TOT H2O TO DC-551
HS52551,FB-554 BTMS ALUM SLRY SR
LC52572,FB-554 SLURRY SURGE TANK
LC55553,DC551 HYDR RX SLURRY LEV
LC55555,FA-552 1ST STG SEP SLRY
LC55557,FA-554 SLURRY LEVEL
LC55568,DA-554 C4 STRPR BOTTOMS
LC90366,FB-657 SAO STORAGE
LC90368,FB-658 ALKOXIDE TANK
PI55004,DA-554 BOTTOM PRESSURE
PI55020,DA-554 TOP PRESSURE
PI55560,DA-554 MIDDLE PRESSURE
TC52015,X8-029 ALUM SLRY COOLER
TC55552,DC-551 ALKOX  FD PREHEAT
TC55553,DC-551 HYDR H2O PREHEAT
TC55555,EA-552 OUT  RECY C4
TC55566,DA-554 BTMS COOLER
TI40050,CLARK AIR COMP INLET TEMP
TI55013,DC-551  HYDR RX SLURRY O
TI55014,FA-553  1ST STG MIX DRUM
TI55015,FA-552 1ST STG SEP BTMS
TI55016,FA-551  2ND STG MIXER
TI55017,FA-554 SLURRY OUTLET
TI55021,STEAM TO DA554
TI55565,STEAM TO DA554 (RTD)
TI90366,FB657/T6650 TEMP
TI90368,FB658/T6651 TEMP
XV90911,RECYCLE BUTANOL H2O ADD
TI52014,P8-038/039 ATMZR LUBE OI
II52554,P8-038/039 ATOMIZER AMPS
VI52558B,EC-551 ATOMIZER VIB
